node	KO
K01578	K01578
K01579	K01579
K01580	K01580
K01581	K01581
K01582	K01582
K01583-K01584-K01585	K01583
K01583-K01584-K01585	K01584
K01583-K01584-K01585	K01585
K01586	K01586
K01587	K01587
K01588	K01588
K01589	K01589
K01590	K01590
K01591	K01591
K01592	K01592
K01593	K01593
K01594	K01594
K01595	K01595
K01596	K01596
K01597	K01597
K01598	K01598
K01599	K01599
K01601-K01602	K01601
K01601-K01602	K01602
K01607	K01607
K01608	K01608
K01609	K01609
K01610	K01610
K01611	K01611
K01612	K01612
K01613	K01613
K01615	K01615
K01617	K01617
K01619	K01619
K01620	K01620
K01621	K01621
K01622	K01622
K01623-K01624	K01623
K01623-K01624	K01624
K01625	K01625
K01626	K01626
K01627	K01627
K01628	K01628
K01629	K01629
K01630	K01630
K01631	K01631
K01633	K01633
K01634	K01634
K01635	K01635
K01637	K01637
K01638	K01638
K01639	K01639
K01640	K01640
K01641	K01641
K01647	K01647
K01648	K01648
K01649	K01649
K01652-K01653	K01652
K01652-K01653	K01653
K01654	K01654
K01655	K01655
K01656	K01656
K01657-K01658	K01657
K01657-K01658	K01658
K01659	K01659
K01661	K01661
K01662	K01662
K01663	K01663
K01664-K01665	K01664
K01664-K01665	K01665
K01666	K01666
K01667	K01667
K01668	K01668
K01670	K01670
K01672-K01673-K01674	K01672
K01672-K01673-K01674	K01673
K01672-K01673-K01674	K01674
K01676-K01677-K01678-K01679	K01676
K01676-K01677-K01678-K01679	K01677
K01676-K01677-K01678-K01679	K01678
K01676-K01677-K01678-K01679	K01679
K01681	K01681
K01682	K01682
K01684	K01684
K01685	K01685
K01686	K01686
K01687	K01687
K01689	K01689
K01690	K01690
K01692	K01692
K01693	K01693
K01694	K01694
K01695-K01696	K01695
K01695-K01696	K01696
K01697	K01697
K01698	K01698
K01699	K01699
K01702	K01702
K01703-K01704	K01703
K01703-K01704	K01704
K01705	K01705
K01706	K01706
K01707	K01707
K01708	K01708
K01709	K01709
K01710	K01710
K01711	K01711
K01712	K01712
K01713	K01713
K01714	K01714
K01715	K01715
K01716	K01716
K01718	K01718
K01719	K01719
K01720	K01720
K01721	K01721
K01723	K01723
K01725	K01725
K01728	K01728
K01730	K01730
K01733	K01733
K01734	K01734
K01735	K01735
K01736	K01736
K01737	K01737
K01738	K01738
K01739	K01739
K01740	K01740
K01744	K01744
K01745	K01745
K01746	K01746
K01749	K01749
K01750	K01750
K01752	K01752
K01753	K01753
K01754	K01754
K01755	K01755
K01756	K01756
K01757	K01757
K01758	K01758
K01759	K01759
K01760	K01760
K01761	K01761
K01762	K01762
K01763	K01763
K01764	K01764
K01768	K01768
K01769	K01769
K01770	K01770
K01771	K01771
K01772	K01772
K01775	K01775
K01776	K01776
K01777	K01777
K01778	K01778
K01779	K01779
K01781	K01781
K01782	K01782
K01783	K01783
K01784	K01784
K01785	K01785
K01786	K01786
K01787	K01787
K01788	K01788
K01790	K01790
K01791	K01791
K01792	K01792
K01794	K01794
K01796	K01796
K01799	K01799
K01800	K01800
K01801	K01801
K01803	K01803
K01804	K01804
K01805	K01805
K01807	K01807
K01808	K01808
K01809	K01809
K01810	K01810
K01812	K01812
K01813	K01813
K01814	K01814
K01815	K01815
K01816	K01816
K01817	K01817
K01818	K01818
K01819	K01819
K01820	K01820
K01821	K01821
K01822	K01822
K01823	K01823
K01824	K01824
K01825	K01825
K01826	K01826
K01827	K01827
K01830	K01830
K01831	K01831
K01832	K01832
K01833	K01833
K01834	K01834
K01835	K01835
K01836	K01836
K01837	K01837
K01838	K01838
K01839	K01839
K01840	K01840
K01841	K01841
K01843	K01843
K01844	K01844
K01845	K01845
K01846	K01846
K01847-K01848-K01849	K01847
K01847-K01848-K01849	K01848
K01847-K01848-K01849	K01849
K01850	K01850
K01851	K01851
K01852	K01852
K01853	K01853
K01854	K01854
K01856	K01856
K01857	K01857
K01858	K01858
K01859	K01859
K01860	K01860
K01866	K01866
K01867	K01867
K01868	K01868
K01869	K01869
K01870	K01870
K01872	K01872
K01873	K01873
K01874	K01874
K01875	K01875
K01876	K01876
K01878-K01879-K01880	K01878
K01878-K01879-K01880	K01879
K01878-K01879-K01880	K01880
K01881	K01881
K01883-K01884	K01883
K01883-K01884	K01884
K01885	K01885
K01886	K01886
K01887	K01887
K01889-K01890	K01889
K01889-K01890	K01890
K01892	K01892
K01893	K01893
K01895	K01895
K01896	K01896
K01897	K01897
K01899-K01900	K01899
K01899-K01900	K01900
K01902-K01903	K01902
K01902-K01903	K01903
K01904	K01904
K01905	K01905
K01906	K01906
K01907	K01907
K01908	K01908
K01909	K01909
K01911	K01911
K01912	K01912
K01914	K01914
K01915	K01915
K01916	K01916
K01917	K01917
K01918	K01918
K01919	K01919
K01920	K01920
K01921	K01921
K01922	K01922
K01923	K01923
K01924	K01924
K01925	K01925
K01928	K01928
K01929	K01929
K01930	K01930
K01933	K01933
K01934	K01934
K01935	K01935
K01937	K01937
K01938	K01938
K01939	K01939
K01940	K01940
K01941	K01941
K01942	K01942
K01945	K01945
K01947	K01947
K01948	K01948
K01950	K01950
K01951	K01951
K01952	K01952
K01953	K01953
K01954-K01955-K01956	K01954
K01954-K01955-K01956	K01955
K01954-K01955-K01956	K01956
K01958-K01959-K01960	K01958
K01958-K01959-K01960	K01959
K01958-K01959-K01960	K01960
K01961-K01962-K01963	K01961
K01961-K01962-K01963	K01962
K01961-K01962-K01963	K01963
K01964	K01964
K01965-K01966	K01965
K01965-K01966	K01966
K01968-K01969	K01968
K01968-K01969	K01969
K02079	K02079
K02080	K02080
K02083	K02083
K02160	K02160
K02169	K02169
K02170	K02170
K02188	K02188
K02189	K02189
K02190	K02190
K02191	K02191
K02201	K02201
K02203	K02203
K02204	K02204
K02224	K02224
K02225	K02225
K02226	K02226
K02227	K02227
K02228	K02228
K02229	K02229
K02230	K02230
K02231	K02231
K02232	K02232
K02233	K02233
K02257	K02257
K02259	K02259
K02274-K02275-K02276	K02274
K02274-K02275-K02276	K02275
K02274-K02275-K02276	K02276
K02291	K02291
K02292	K02292
K02293	K02293
K02294	K02294
K02301	K02301
K02302	K02302
K02303	K02303
K02304	K02304
K02305	K02305
K02318	K02318
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02319
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02320
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02321
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02322
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02323
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02324
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02325
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02326
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02327
K02319-K02320-K02321-K02322-K02323-K02324-K02325-K02326-K02327-K02328	K02328
K02335	K02335
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02337
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02338
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02339
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02340
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02341
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02342
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02343
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02344
K02337-K02338-K02339-K02340-K02341-K02342-K02343-K02344-K02345	K02345
K02361	K02361
K02371	K02371
K02372	K02372
K02377	K02377
K02428	K02428
K02433-K02434-K02435	K02433
K02433-K02434-K02435	K02434
K02433-K02434-K02435	K02435
K02437	K02437
K02439	K02439
K02446	K02446
K02472	K02472
K02473	K02473
K02474	K02474
K02492	K02492
K02495	K02495
K02496	K02496
K02500-K02501	K02500
K02500-K02501	K02501
K02502	K02502
K02509	K02509
K02510	K02510
K02517	K02517
K02523	K02523
K02527	K02527
K02535	K02535
K02536	K02536
K02548	K02548
K02549	K02549
K02551	K02551
K02552	K02552
K02554	K02554
K02560	K02560
K02563	K02563
K02564	K02564
K02567	K02567
K02568	K02568
K02586	K02586
K02588	K02588
K02591	K02591
K02594	K02594
K02609-K02610-K02611-K02612-K02613	K02609
K02609-K02610-K02611-K02612-K02613	K02610
K02609-K02610-K02611-K02612-K02613	K02611
